municipio,matricula_tecnico
CURITIBA,TR783927
CURITIBA,TR785720
CURITIBA,TR785758
CURITIBA,TR785950
CURITIBA,TR785952
CURITIBA,TR786014
CURITIBA,TR786614
CURITIBA,TR787012
CURITIBA,TR787185
CURITIBA,TR787362
CURITIBA,TR787478
CURITIBA,TR787706
CURITIBA,TR787707
CURITIBA,TR787712
MARINGA,TR787713
CURITIBA,TR787905
CURITIBA,TR787920
CURITIBA,TR787924
CURITIBA,TR788014
CURITIBA,TR788190
CURITIBA,TR788191
MARINGA,TR788265
CURITIBA,TR788448
CURITIBA,TR788450
MARINGA,TR788454
CURITIBA,TR788457
CURITIBA,TR788478
CURITIBA,TR788479
CURITIBA,TR788480
CURITIBA,TR788482
CURITIBA,TR788636
CURITIBA,TR788637
CURITIBA,TR788643
MARINGA,TR788647
CURITIBA,TR788651
CURITIBA,TR788958
CURITIBA,TR788960
CURITIBA,TR788963
CURITIBA,TR788966
CURITIBA,TR788972
CURITIBA,TR788973
CURITIBA,TR789133
CURITIBA,TR789148
CURITIBA,TR789150
CURITIBA,TR789158
MARINGA,TR789160
CURITIBA,TR789162
MARINGA,TR789163
CURITIBA,TR789174
CURITIBA,TR789185
CURITIBA,TR789239
CURITIBA,TR789241
CURITIBA,TR789244
CURITIBA,TR789245
CURITIBA,TR789247
CURITIBA,TR789460
CURITIBA,TR789466
CURITIBA,TR789467
CURITIBA,TR789470
CURITIBA,TR789476
CURITIBA,TR789584
CURITIBA,TR789587
CURITIBA,TR789588
CURITIBA,TR789590
CURITIBA,TR789591
CURITIBA,TR789827
CURITIBA,TR789828
CURITIBA,TR789830
CURITIBA,TR789833
CURITIBA,TR789836
CURITIBA,TR789837
CURITIBA,TR789840
CURITIBA,TR789851
CURITIBA,TR790074
CURITIBA,TR790091
MARINGA,TR790512
MARINGA,TR790514
CURITIBA,TR790515
MARINGA,TR790517
CURITIBA,TR790565
CURITIBA,TR790595
CURITIBA,TR790600
CURITIBA,TR790601
CURITIBA,TR790602
CURITIBA,TR790880
CURITIBA,TR790881
CURITIBA,TR791347
CURITIBA,TR791350
CURITIBA,TR791351
MARINGA,TR791352
CURITIBA,TR791353
CURITIBA,TR791355
CURITIBA,TR791357
CURITIBA,TR791675
CURITIBA,TR791680
CURITIBA,TR791684
CURITIBA,TR791685
CURITIBA,TR791686
CURITIBA,TR791687
CURITIBA,TR791692
CURITIBA,TR791702
CURITIBA,TR791898
CURITIBA,TR791899
CURITIBA,TR791901
MARINGA,TR792062
MARINGA,TR792315
CURITIBA,TR792316
CURITIBA,TR792317
CURITIBA,TR792318
CURITIBA,TR792320
MARINGA,TR792322
CURITIBA,TR792323
CURITIBA,TR792325
CURITIBA,TR792327
CURITIBA,TR792911
CURITIBA,TR792918
CURITIBA,TR792922
CURITIBA,TR792926
CURITIBA,TR792927
CURITIBA,TR792934
MARINGA,TR792946
CURITIBA,TR792948
CURITIBA,TR793198
CURITIBA,TR793199
MARINGA,TR793201
CURITIBA,TR793204
CURITIBA,TR793206
CURITIBA,TR793208
CURITIBA,TR793265
CURITIBA,TR793267
CURITIBA,TR793268
CURITIBA,TR793431
CURITIBA,TR793709
CURITIBA,TR793710
CURITIBA,TR793712
CURITIBA,TR793713
CURITIBA,TR793714
CURITIBA,TR793715
MARINGA,TR793716
CURITIBA,TR793718
CURITIBA,TR793881
CURITIBA,TR793883
CURITIBA,TR794378
CURITIBA,TR794411
CURITIBA,TR794412
MARINGA,TR794413
CURITIBA,TR794928
CURITIBA,TR794931
MARINGA,TR057914
CURITIBA,TR147159
CURITIBA,TR182194
CURITIBA,TR370046
CURITIBA,TR497091
CURITIBA,TR572632
CURITIBA,TR576572
CURITIBA,TR590937
CURITIBA,TR615257
CURITIBA,TR618839
CURITIBA,TR645540
CURITIBA,TR650001
CURITIBA,TR687175
CURITIBA,TR722908
MARINGA,TR750297
CURITIBA,TR788639
CURITIBA,TR789059
CURITIBA,TR789246
CURITIBA,TR791345
CURITIBA,TR793202
CURITIBA,TR793450
CURITIBA,TR793711
MARINGA,TR794775
CURITIBA,TR794933
CURITIBA,TR795017
